Axis porcinus
Babyrousa babyrussa
Babyrousa celebensis
Baiomys musculus
Baiomys taylori
Balaena mysticetus
Balaenoptera acutorostrata
Balaenoptera bonaerensis
Balaenoptera borealis
Balaenoptera brydei
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera omurai
Balaenoptera physalus
Balantiopteryx infusca
Balantiopteryx io
Balantiopteryx plicata
Balionycteris maculata
Bandicota bengalensis
Bandicota indica
Bandicota savilei
Barbastella barbastellus
Barbastella beijingensis
Barbastella caspica
Barbastella leucomelas
Barbastella pacifica
Bassaricyon alleni
Bassaricyon beddardi
Bassaricyon gabbii
Bassaricyon medius
Bassaricyon neblina
Bassariscus astutus
Bassariscus sumichrasti
Bathyergus janetta
Bathyergus suillus
Batomys granti
Batomys salomonseni
Bdeogale crassicauda
Bdeogale nigripes
Beamys hindei
Beamys major
Beatragus hunteri
Belomys pearsonii
Berardius arnuxii
Berardius bairdii
Berylmys berdmorei
Berylmys bowersi
Berylmys manipulus
Bettongia anhydra
Bettongia gaimardi
Bettongia lesueur
Bettongia penicillata
Bettongia tropica
Bibimys labiosus
Bison bison
Bison bonasus
Bison priscus
Bison schoetensacki
Biswamoyopterus biswasi
Blanfordimys afghanus
Blanfordimys bucharensis
Blarina brevicauda
Blarina carolinensis
Blarina hylophaga
Blarinella griselda
Blarinella quadraticauda
Blarinella wardi
Blarinomys breviceps
Blastocerus dichotomus
Bolomys amoenus
Bolomys lasiurus
Bolomys temchuki
Bolomys urichi
Boneia bidens
Bootherium bombifrons
Bos frontalis
Bos gaurus
Bos grunniens
Bos indicus
Bos javanicus
Bos mutus
Bos primigenius
Bos sauveli
Bos taurus
Boselaphus tragocamelus
Brachiones przewalskii
Brachylagus idahoensis
Brachyphylla cavernarum
Brachyphylla nana
Brachytarsomys albicauda
Brachytarsomys villosa
Brachyteles arachnoides
Brachyuromys betsileoensis
Brachyuromys ramirohitra
Bradypus pygmaeus
Bradypus torquatus
Bradypus tridactylus
Bradypus variegatus
Brucepattersonius igniventris
Brucepattersonius soricinus
Bubalus bubalis
Bubalus depressicornis
Bubalus mindorensis
Bubalus quarlesi
Budorcas taxicolor
Bullimus bagobus
Bullimus gamay
Bullimus luzonicus
Bunolagus monticularis
Bunomys andrewsi
Bunomys chrysocomus
Bunomys penitus
Burramys parvus
Cacajao ayresi
Cacajao calvus
Cacajao hosomi
Cacajao melanocephalus
Cacajao rubicundus
Caenolestes caniventer
Caenolestes convelatus
Caenolestes fuliginosus
Caenolestes sangay
Callicebus caquetensis
Callicebus discolor
Callicebus dubius
Callicebus nigrifrons
Callicebus ornatus
Callicebus personatus
Callimico goeldii
Callistomys pictus
Callithrix aurita
Callithrix geoffroyi
Callithrix jacchus
Callithrix kuhlii
Callithrix penicillata
Callithrix pygmaea
Callorhinus ursinus
Callosciurus adamsi
Callosciurus caniceps
Callosciurus erythraeus
Callosciurus finlaysonii
Callosciurus honkhoaiensis
Callosciurus inornatus
Callosciurus nigrovittatus
Callosciurus notatus
Callosciurus orestes
Callosciurus phayrei
Callosciurus prevostii
Callospermophilus lateralis
Callospermophilus madrensis
Callospermophilus saturatus
Calomys callosus
Calomys expulsus
Calomys fecundus
Calomys hummelincki
Calomys laucha
Calomys lepidus
Calomys musculinus
Calomys sorellus
Calomys tener
Calomys tocantinsi
Calomys venustus
Calomyscus bailwardi
Calomyscus baluchi
Calomyscus elburzensis
Calomyscus grandis
Calomyscus hotsoni
Calomyscus mystax
Calomyscus urartensis
Caloprymnus campestris
Caluromys derbianus
Caluromys lanatus
Caluromys philander
Camelus bactrianus
Camelus dromedarius
Camelus ferus
Canis adustus
Canis aureus
Canis himalayensis
Canis indica
Canis latrans
Canis lupaster
Canis lupus
Canis mesomelas
Canis rufus
Canis simensis
Cannomys badius
Capra aegagrus
Capra caucasica
Capra cylindricornis
Capra falconeri
Capra hircus
Capra ibex
Capra nubiana
Capra pyrenaica
Capra sibirica
Capra walie
Capreolus capreolus
Capreolus pygargus
Capricornis crispus
Capricornis milneedwardsii
Capricornis rubidus
Capricornis sumatraensis
Capricornis swinhoei
Capricornis thar
Caprolagus hispidus
Capromys pilorides
Caracal caracal
Cardiocranius paradoxus
Carlito syrichta
Carollia benkeithi
Carollia brevicauda
Carollia castanea
Carollia manu
Carollia perspicillata
Carollia sowelli
Carollia subrufa
Carpomys melanurus
Carpomys phaeurus
Carterodon sulcidens
Casinycteris argynnis
Casinycteris campomaanensis
Casinycteris ophiodon
Cassistrellus dimissus
Cassistrellus yokdonensis
Castor canadensis
Castor fiber
Castoria angustidens
Catagonus wagneri
Catopuma badia
Catopuma temminckii
Cavia aperea
Cavia fulgida
Cavia magna
Cavia patzelti
Cavia porcellus
Cavia tschudii
Cebus albifrons
Cebus capucinus
Cebus kaapori
Cebus olivaceus
Cebus unicolor
Cebus versicolor
Centronycteris centralis
Centronycteris maximiliani
Centurio senex
Cephalopachus bancanus
Cephalophus adersi
Cephalophus callipygus
Cephalophus dorsalis
Cephalophus harveyi
Cephalophus jentinki
Cephalophus leucogaster
Cephalophus natalensis
Cephalophus niger
Cephalophus nigrifrons
Cephalophus ogilbyi
Cephalophus rubidus
Cephalophus rufilatus
Cephalophus silvicultor
Cephalophus spadix
Cephalophus weynsi
Cephalophus zebra
Cephalorhynchus commersonii
Cephalorhynchus eutropia
