species	Family	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Akodon_torques	Cricetidae	2876.66666666667	1106	3888	-13.1810738095238	-13.70857	-12.75	129.666666666667	55	226	NA	589.3882991	67470.59215	0.039	0.295204
Alcelaphus_buselaphus	Bovidae	1240.56896551724	67	3171	-7.89938568965517	-33.41038	12.44433	209.724137931034	110	286	1	2863.875333	6937407.865	171.0015	34.481486
Alces_alces	Cervidae	252.087153196622	1	1708	61.2203746754412	50.8717	70.65009	40.100209392761	-63	79	1.29	3721.7786	22969995.53	355	118
Allactaga_elater	Dipodidae	594.46875	-19	2268	36.289471875	28.91667	47.3136	160.625	36	236	4.5	625.1262	3335783.921	0.059	0.869504
Allactaga_euphratica	Dipodidae	348	348	348	36.68333	36.68333	36.68333	177	177	177	5	625.1262	738254.2352	0.07	0.692656
Allactaga_sibirica	Dipodidae	1503.76744186047	846	2605	45.4908502325581	42.52644	49.99	23.1395348837209	-39	69	3.44	625.1262	5472554.907	0.0975	1.2915
Alouatta_belzebul	Atelidae	15	15	15	-1	-1	-1	271	271	271	NA	4380	878166.4925	6.4	5.448388
Alouatta_caraya	Atelidae	137.571428571429	52	336	-25.035669047619	-28.55769	-13.06667	219.52380952381	201	266	1	3750.594	3097568.058	5.8625	6.814605
Alouatta_guariba	Atelidae	462.5	270	583	-25.7731333333333	-27.26667	-21.66667	194.166666666667	181	215	NA	3888.341186	1086675.65	5.5892	5.293719
Alouatta_palliata	Atelidae	309.648648648649	5	2485	9.62422727331541	-2.567	18.12551	248.159292035398	123	272	1	3574.6373	577594.7354	7.275	3
Alouatta_pigra	Atelidae	209.071428571429	0	2374	17.6124507550374	15.08	21.472	250.839285714286	146	265	1.005	3650	242618.7543	7	5.790809
Alouatta_seniculus	Atelidae	557.229166666667	2	3195	3.36596916666667	-9.08333	11.25	247.791666666667	91	284	1.2	3833.157	NA	6.1455	5.976681
Alticola_lemminus	Cricetidae	440.090909090909	1	856	63.9528309088914	59.695	71.6	-101.090909090909	-150	-45	NA	589.3882991	2052041.663	0.0155	0.235185
Alticola_semicanus	Cricetidae	1697.33333333333	1316	1969	46.93953	46.59889	47.43276	-6.66666666666667	-13	-2	4.87	589.3882991	670520.9115	0.0532	0.364973
Alticola_stoliczkanus	Cricetidae	5837	2992	8682	28.034595	27.88586	28.18333	27.5	-86	141	7.77	589.3882991	20194.26846	0.0275	0.118999
Alticola_strelzowi	Cricetidae	1561.5	624	2273	49.3245495488819	48.2981981955274	50.5	-15	-41	11	7.3	589.3882991	440456.2146	0.05	0.322088
Amblysomus_hottentotus	Chrysochloridae	734.235294117647	7	1746	-30.1934435294118	-33.96667	-27.35	176.176470588235	139	217	1.93	1036.557583	213903.7003	0.0526	0.2207
Ammospermophilus_leucurus	Sciuridae	1159.9616519174	-74	3112	35.6461893973231	23.058744416553	43.6175927257291	144.003933136676	25	241	8	1205.3128	1006032.928	0.1205	1.662166
Andinomys_edax	Cricetidae	3510.55	1500	4782	-22.189764	-27.10242	-17.45276	92.3	20	156	2.91	589.3882991	230896.2735	0.0697	0.336565
Anourosorex_squamipes	Soricidae	1879.96	370	4337	27.5156023012674	21.66152	31	131.52	24	193	2.82	379.2929563	1198209.65	0.02	0.383645
Anourosorex_yamashinai	Soricidae	1944.5	417	2673	23.5410777487778	23.4649049313737	23.7368577250448	124.166666666667	105	207	2.82	426.9101194	36229.77248	0.0114	0.125582
Antidorcas_marsupialis	Bovidae	1125.2523364486	36	2005	-21.3169707476636	-32.25	-14.78333	207.158878504673	120	229	1	2563.152683	1966848.52	31.5	15.634165
Antilope_cervicapra	Bovidae	224.4	166	300	27.5703	25.99632	28.66667	253.4	250	256	1	2747.350267	1771403.917	37.5	16.829544
Antrozous_pallidus	Vespertilionidae	1030.57582184517	-53	2877	33.8352049272605	20.6938874232514	48.0520799990623	151.246822033898	42	247	2	1524.0575	4390098.997	0.0208	0.520773
Aotus_azarae	Aotidae	216.863636363636	72	1439	-22.0478213636364	-25.17462	-13.01667	234.045454545455	225	266	1	3047.8376	3201357.613	0.963	1.6025
Aotus_nancymaae	Aotidae	95	95	95	-4.45	-4.45	-4.45	260	260	260	1.02	3047.8376	499256.824	0.788	2.559894
Aplodontia_rufa	Aplodontiidae	579.940886699507	-33	4067	44.5228054808126	36.4512714074621	49.32042	89.192118226601	-21	135	2.8	1576.8	245571.2931	1.004	0.326
