species	Family	mean_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Apomys_zambalensis	NA	NA	NA	NA	NA	NA	NA
Arctocephalus_australis	Otariidae	NA	1	4269.8894	2029474.746	45	61.357328
Arctocephalus_forsteri	Otariidae	NA	1	3285	11940004.35	101.25	151.497726
Arctocephalus_gazella	Otariidae	NA	1	3341.575	17467102.78	97.5	160.526527
Arctocephalus_pusillus	Otariidae	NA	1	3587.7675	1180312.256	178.5	132.330741
Arctocephalus_tropicalis	Otariidae	NA	1.2	3913.16785	13418582.93	84	137.790526
Arctogalidia_trivirgata	Viverridae	249.375	2.5	1825	2570173.738	2.25	6.665131
Ardops_nichollsi	Phyllostomidae	243.666666666667	0.995	2064.27635	4797.85422	0.0172	0.067333
Ariteus_flavescens	Phyllostomidae	239.428571428571	NA	2064.27635	11140.9566	0.0119	0.101133
Artibeus_amplus	Phyllostomidae	251.9	NA	1920.4777	1663377.578	0.06	0.755461
Artibeus_concolor	Phyllostomidae	265.444444444444	NA	1920.4777	6522858.049	0.0194	0.530261
Artibeus_fimbriatus	Phyllostomidae	217.763157894737	NA	1920.4777	1497990.273	0.0639	0.765794
Artibeus_fraterculus	Phyllostomidae	215.245901639344	1	1920.4777	306041.96	0.0395	0.412189
Artibeus_hirsutus	Phyllostomidae	223.393939393939	0.98	1920.4777	230997.6422	0.0387	0.38336
Artibeus_jamaicensis	Phyllostomidae	243.859531772575	1	1920.4777	1954670.022	0.0422	0.638983
Artibeus_lituratus	Phyllostomidae	239.105740181269	1	1920.4777	14409764.93	0.0605	1.209912
Artibeus_obscurus	Phyllostomidae	251.87619047619	1	1920.4777	11261553.13	0.0352	0.840293
Arvicanthis_nairobae	Muridae	207.571428571429	NA	751.795	153173.5896	0.104	0.384198
Arvicanthis_neumanni	Muridae	206.166666666667	NA	751.795	1234475.415	NA	NA
Arvicanthis_niloticus	Muridae	225.163636363636	5	751.795	6259921.634	0.1069	0.869155
Arvicola_amphibius	Cricetidae	90.9973250111458	5.08	656.0875	15720735.1	0.225	1.599262
Arvicola_sapidus	Cricetidae	119.936159600998	5.04	656.0875	883166.8	0.22	0.848252
Asellia_tridens	Hipposideridae	233.4	1	1834.2256	17077701.35	0.0119	0.487716
Aselliscus_stoliczkanus	Hipposideridae	181	NA	1834.2256	1375477.484	0.0049	0.160056
Atelerix_algirus	Erinaceidae	160.75	3.75	1335.15805	738152.5729	1.25	3.631427
Ateles_belzebuth	Atelidae	248.888888888889	1	5475	1189357.653	5	14.314752
Ateles_chamek	Atelidae	NA	1	5475	2468473.278	6	11.611276
Ateles_fusciceps	Atelidae	248.583333333333	1	5475	218630.9334	9.1	8.740714
Ateles_geoffroyi	Atelidae	250.979381443299	1	5475	912013.2171	5.2849	9.556066
Atherurus_africanus	Hystricidae	244.103896103896	1.5	2713.29805	3591567.227	1.934	4.852414
Atherurus_macrourus	Hystricidae	NA	1.585	2713.29805	2699372.064	2	3.652869
Avahi_laniger	Indriidae	211.555555555556	1.005	3649.771875	51252.07959	1.3	0.84829
Avahi_occidentalis	Indriidae	NA	1.01	3649.771875	3091.518445	0.85	0.530251
Axis_axis	Cervidae	254.423076923077	1.03	3650	2384915.907	66.1728	26.619565
Axis_porcinus	Cervidae	241.5	1	2555	364696.9344	34.1278	11.357004
Baiomys_musculus	Cricetidae	226.147368421053	2.62	405.053	455208.9094	0.009	0.191906
Baiomys_taylori	Cricetidae	190.268476621418	2.67	405.053	1285156.497	0.008	0.212102
Balaenoptera_acutorostrata	Balaenopteridae	NA	1	8030	149885916.6	10000	5007.68573
Balaenoptera_bonaerensis	Balaenopteridae	NA	1	8030	183195809.7	NA	NA
Balaenoptera_borealis	Balaenopteridae	NA	1.01	8504.5	181745115.6	20000	8150.597036
Balaenoptera_edeni	Balaenopteridae	NA	1	10042.4483	230727318.6	20000	8581.586852
Balaenoptera_omurai	Balaenopteridae	NA	NA	9016.737075	25440025.74	NA	NA
Balionycteris_maculata	Pteropodidae	250.555555555556	1	1553.790873	578027.6175	0.0134	0.165076
Bandicota_bengalensis	Muridae	244.423076923077	7.625	639.6318318	4020264.31	0.1885	1.765021
Bandicota_indica	Muridae	249.365384615385	6.12	639.6318318	5429572.589	0.72	4.069034
Bandicota_savilei	Muridae	261.533333333333	NA	639.6318318	876358.1485	0.199	1.310475
Barbastella_barbastellus	Vespertilionidae	86.8950276243094	2	1825	3798951.236	0.008	0.273133
Barbastella_leucomelas	Vespertilionidae	136.333333333333	2	1825	3946820.448	0.0151	0.41426
Bathyergus_janetta	Bathyergidae	NA	3.3	967.375	12118.95599	0.332	0.42172
Bathyergus_suillus	Bathyergidae	160.4	3.13	967.375	39424.81907	0.625	0.450787
Beamys_hindei	Nesomyidae	225.409090909091	3.875	604.575	341627.6047	0.0758	0.383643
Belomys_pearsonii	Sciuridae	194.666666666667	NA	1384.121263	530386.0652	0.217	1.235817
Berylmys_berdmorei	Muridae	254.5	NA	639.6318318	668253.6056	0.235	1.359928
Berylmys_bowersi	Muridae	211.611111111111	3.88	639.6318318	2581942.245	0.3	2.095223
Bettongia_penicillata	Potoroidae	156.588235294118	1	1517.6945	4081.423782	1.3	0.708445
Bison_bison	Bovidae	-3.275	1	4288.141667	194361.1682	579.2553	68.261684
Bison_bonasus	Bovidae	67.2	1	3595.3298	NA	500	40.206026
Blarina_carolinensis	Soricidae	174.799065420561	4.12	339.884375	870943.5593	0.0135	0.60087
Blarina_hylophaga	Soricidae	128.595348837209	5	372.35	730624.8288	0.0145	0.279588
Blarinella_griselda	Soricidae	NA	NA	426.9101194	442037.385	0.008	0.171653
Blarinella_quadraticauda	Soricidae	62.3333333333333	NA	379.2929563	17727.93838	0.0125	0.114186
Bos_frontalis	Bovidae	NA	1.17	3285	NA	800	62.635365
Bos_grunniens	Bovidae	NA	1	3650	NA	416.5	47.362235
Bos_javanicus	Bovidae	273.166666666667	1.22	3285	185527.0276	700	52.041968
Bos_taurus	Bovidae	NA	1	NA	NA	900	69.451227
Boselaphus_tragocamelus	Bovidae	254.529411764706	1.5	2944.82	2311100.682	169	40.932337
Brachyphylla_cavernarum	Phyllostomidae	245.219298245614	1	2064.27635	15074.02308	0.0462	0.235435
Brachyphylla_nana	Phyllostomidae	243.55	1	2064.27635	197030.7071	0.0358	0.354199
Bradypus_torquatus	Bradypodidae	NA	1	3873.20485	76307.83015	3.9	1.653993
Bradypus_variegatus	Bradypodidae	241.194630872483	1	3873.20485	9918930.839	4.335	4.241553
Bubalus_depressicornis	Bovidae	NA	1	2920	108502.5437	300	29.030539
Bubalus_quarlesi	Bovidae	NA	1	2920	70964.90183	150	18.063917
Budorcas_taxicolor	Bovidae	93.7142857142857	1.17	2920	443468.1137	302	39.488716
Bullimus_bagobus	Muridae	NA	NA	639.6318318	120400.9835	0.4325	1.333762
Bullimus_luzonicus	Muridae	181.212121212121	NA	639.6318318	38744.05366	0.445	1.061358
Cacajao_ayresi	Pitheciidae	NA	NA	3650	6453.282709	2.2333	1.821762
Cacajao_calvus	Pitheciidae	260	1	3650	184408.7617	5.796	6.500811
Cacajao_hosomi	Pitheciidae	NA	NA	3650	70687.29546	3.1	3.68831
Cacajao_melanocephalus	Pitheciidae	NA	1	3650	NA	3.1	3.951556
Callicebus_lugens	Pitheciidae	NA	1.005	2920	925579.1749	1.2036	3.731239
Callithrix_geoffroyi	Callitrichidae	NA	2.24	2110.588375	126341.0663	0.342	1.177566
Callithrix_jacchus	Callitrichidae	253.857142857143	2.24	2156.5235	955697.3642	0.292	1.664492
Callorhinus_ursinus	Otariidae	NA	1	4745	17161513.52	45.133	97.475269
Callosciurus_erythraeus	Sciuridae	196.824324324324	2.155	1585.1964	4078043.156	0.28	1.524699
Callosciurus_finlaysonii	Sciuridae	265.705882352941	2	1585.1964	737949.3852	0.278	1.530271
Callosciurus_notatus	Sciuridae	259.972602739726	2.085	1585.1964	1515729.008	0.1975	1.195022
Callosciurus_prevostii	Sciuridae	256.585365853659	1.765	1585.1964	1331478.893	0.3615	2.021526
Calomys_callosus	Cricetidae	237.291044776119	4.985	589.3882991	3180515.538	0.048	0.482593
Calomys_expulsus	Cricetidae	NA	4.985	589.3882991	1376678.311	0.0282	0.300263
Calomys_fecundus	NA	NA	NA	NA	54868.29346	0.041	0.184101
Calomys_laucha	Cricetidae	188.432098765432	4.975	589.3882991	1447362.25	0.014	0.206188
Calomys_lepidus	Cricetidae	71.8666666666667	4.22	589.3882991	590502.9812	0.0266	0.242168
Calomys_musculinus	Cricetidae	154.528571428571	5.35	589.3882991	2035010.795	0.0201	0.270989
Calomys_sorellus	Cricetidae	75.3088235294118	4.22	589.3882991	247033.2405	0.02	0.171397
Calomys_tener	Cricetidae	203	4.975	589.3882991	1728714.931	0.0138	0.212555
Calomyscus_bailwardi	Calomyscidae	121.071428571429	3.33	717.7762436	186907.4444	0.0204	0.253453
Calomyscus_baluchi	Calomyscidae	NA	3.33	717.7762436	428850.9356	0.0201	0.300664
Calomyscus_hotsoni	Calomyscidae	NA	3.33	717.7762436	142224.3817	0.0163	0.210022
Caluromys_derbianus	Didelphidae	249.775510204082	3.07	895.4725	801897.2165	0.297	1.618326
Caluromys_lanatus	Didelphidae	235.915254237288	2.5	969.6242333	5170361.039	0.325	2.548774
Caluromys_philander	Didelphidae	257.58064516129	4.34	1043.775967	3754048.648	0.2293	1.875544
Camelus_bactrianus	NA	NA	NA	NA	NA	690	58.546963
Camelus_ferus	Camelidae	NA	NA	5840	229799.8706	690	54.071969
Canis_adustus	Canidae	207.214285714286	4.16	1549.637578	10846549.84	10.2499	20
Canis_anthus	NA	NA	NA	NA	NA	NA	NA
Canis_aureus	Canidae	198.91765704584	3.95	2136.101433	29004481.44	10.3452	32.778258
Canis_latrans	Canidae	116.674212161562	5.605	2569.032222	17097541.92	13.4063	325
Canis_lupus	Canidae	53.2385404101327	4.98	2883.256667	51904189.04	32.1833	256.2375
Canis_mesomelas	Canidae	210.915887850467	3.95	1827.5715	6524493.134	8.5	103
Canis_simensis	Canidae	70.75	4	1460	7002.179364	10	7.5
Capra_caucasica	Bovidae	NA	1.1	2555	11898.02188	55	7.058905
Capra_falconeri	Bovidae	NA	2	2555	25453.24987	41	7.073008
Capra_ibex	Bovidae	27.7608695652174	1.18	2958.933333	2141.633301	85.1665	6.205726
Capra_nubiana	Bovidae	200.928571428571	1.11	2920	188839.2949	62.6248	13.775943
Capra_pyrenaica	Bovidae	131.578947368421	1.5	2471.76	52394.54845	50	6.450587
Capra_sibirica	Bovidae	-1.44444444444444	1.18	2875.226667	1568183.635	130	32.567209
Capreolus_capreolus	Cervidae	87.7476368432623	1.785	2335.391667	6456766.89	22.5	15.272548
Capreolus_pygargus	Cervidae	19.5	1.895	3063.8029	11976633.78	43.7522	25.689945
Capricornis_crispus	Bovidae	NA	1	3135.631967	140188.9092	37.16	4.570061
Capricornis_sumatraensis	Bovidae	NA	1	2555	136888.7164	87.5	15.458345
Capromys_pilorides	Capromyidae	252.583333333333	2	1714.826067	112186.544	5.65	3.261476
Caracal_caracal	Felidae	205.473451327434	3	2239.8225	19306936.09	13.7499	90
Carollia_benkeithi	NA	NA	NA	NA	NA	NA	NA
Carollia_brevicauda	Phyllostomidae	231.533333333333	0.98	NA	10887122.85	0.0144	0.323778
Carollia_castanea	Phyllostomidae	245.075528700906	0.99	1847.5352	2534048.918	0.0133	0.226197
Carollia_sowelli	Phyllostomidae	226.413793103448	NA	1847.5352	799247.0175	0.0165	0.1986
Caryomys_eva	Cricetidae	NA	NA	589.3882991	199355.7083	0.0267	0.191949
Caryomys_inez	Cricetidae	NA	1.94	589.3882991	438049.0706	0.0267	0.227515
Casinycteris_argynnis	Pteropodidae	246.333333333333	0.99	1553.790873	1730518.227	0.0299	0.32583
Castor_fiber	Castoridae	57.4673318313486	3.055	3294.125	3468538.965	19	13.367091
Catopuma_temminckii	Felidae	NA	1.28	NA	345732.2781	11.5	17.420916
Cavia_aperea	Caviidae	196.153846153846	2.48	763.4281	7078604.067	0.549	1.031326
Cavia_porcellus	Caviidae	NA	3.45	NA	NA	0.728	1.869705
Cavia_tschudii	Caviidae	111.888888888889	2.02	755.95645	640039.6953	1	1.825741
Cebus_albifrons	Cebidae	253.728571428571	1	5508.653	NA	2.629	3.782432
Cebus_olivaceus	Cebidae	263.1875	1	6212.3	NA	2.6	9.469708
Centurio_senex	Phyllostomidae	239.419117647059	0.995	2064.27635	2109939.224	0.0212	0.281268
Cephalophus_callipygus	Bovidae	NA	NA	1936.42625	755886.0233	18.2499	7.85447
Cephalophus_dorsalis	Bovidae	241.727272727273	1	2362.6281	3620069.557	20	10.718006
Cephalophus_natalensis	Bovidae	227.4	1	1890.876667	907268.6216	12	5.077227
Cephalophus_nigrifrons	Bovidae	165.214285714286	NA	2407.975	3235655.708	13.8998	19.952074
Cephalophus_ogilbyi	Bovidae	NA	1	1965.47	511075.4416	20	4.79757
Cephalophus_silvicultor	Bovidae	238.454545454545	1	2275.945333	6243265.293	72.5003	59.42442
Ceratotherium_simum	Rhinocerotidae	204.852941176471	1	6865.345833	5684488.462	2949.9863	132.531597
Cercocebus_atys	Cercopithecidae	256.090909090909	1.005	3285	320409.0941	7.6434	8.587052
Cercopithecus_ascanius	Cercopithecidae	227.451612903226	1	4444.7875	2653187.453	3.55	7.016639
Cercopithecus_campbelli	Cercopithecidae	260.772727272727	1	4239.809	282204.7264	4.1	2.216462
Cercopithecus_cephus	Cercopithecidae	240.454545454545	1	4418.325	789416.4511	3.485	5.922894
Cercopithecus_mitis	Cercopithecidae	196.774193548387	1	4917.1705	2350087.917	5	6.26984
Cercopithecus_petaurista	Cercopithecidae	258	1.02	3875.131454	537865.4875	2.775	5.363955
Cerdocyon_thous	Canidae	224.310126582278	4	1530.1676	8531997.191	5.24	2.9
Cerradomys_akroai	NA	NA	NA	NA	NA	NA	NA
Cerradomys_goytaca	NA	NA	NA	NA	NA	NA	NA
Cerradomys_scotti	Cricetidae	NA	4.585	589.3882991	1662580.748	0.092	0.965774
Cerradomys_subflavus	Cricetidae	225.625	4.585	589.3882991	1478566.506	0.0964	0.967249
Cerradomys_vivoi	NA	NA	NA	NA	NA	NA	NA
Cervus_elaphus	Cervidae	83.9537483137406	1.035	5209.4516	15259446.31	180.1878	129.803712
Cervus_nippon	Cervidae	113.266666666667	1	3499.206333	351682.3595	53	10.490294
Chaerephon_atsinanana	NA	NA	NA	NA	NA	NA	NA
Chaerephon_pumilus	Molossidae	NA	1	NA	7329308.386	0.01098	0.385818
Chaetodipus_arenarius	Heteromyidae	206.633802816901	2.91	987.63075	78188.68022	0.023	0.224967
Chaetodipus_dalquesti	Heteromyidae	225.333333333333	2.91	987.63075	11672.75276	0.0295	0.172148
Chaetodipus_fallax	Heteromyidae	171.326315789474	3.225	1030.6743	47182.79834	0.0187	0.233872
Cheirogaleus_crossleyi	Cheirogaleidae	NA	2.255	2236.94965	1321.670009	0.375	0.463819
Cheirogaleus_major	Cheirogaleidae	214.75	2.255	1888.9911	37830.39868	0.45	0.999324
Cheirogaleus_medius	Cheirogaleidae	262.333333333333	2.14	2584.9082	127375.6498	0.181	0.541594
Cheirogaleus_sibreei	Cheirogaleidae	NA	2.255	2236.94965	40.94010713	0.2855	0.187259
Chelemys_macronyx	Cricetidae	70.3333333333333	4.37	589.3882991	322545.3488	0.0733	0.594793
Chimarrogale_himalayica	Soricidae	176.5	NA	379.2929563	3331793.416	0.0348	0.68303
Chimarrogale_platycephalus	Soricidae	107.5	NA	379.2929563	207234.293	0.032	0.355277
Chinchilla_chinchilla	Chinchillidae	NA	1.75	1825	12057.46345	0.5	0.528134
Chinchilla_lanigera	Chinchillidae	NA	1.685	1825	2083.613645	0.417	0.327024
Chionomys_gud	Cricetidae	NA	5.83	589.3882991	78218.55049	0.0935	0.313334
Chionomys_nivalis	Cricetidae	66.6520146520147	3.045	589.3882991	892291.2025	0.054	0.391413
Chionomys_roberti	Cricetidae	NA	1.94	589.3882991	73176.84293	0.0935	0.308858
Chiromyscus_chiropus	Muridae	203	NA	624.3996409	431269.4108	0.0778	0.655362
Chironectes_minimus	Didelphidae	232.137931034483	3.62	843.3734222	6300378.216	0.946	4.915765
Chiropodomys_gliroides	Muridae	230.631578947368	2.17	467.01615	1266151.749	0.0215	0.253863
Chiropotes_chiropotes	Pitheciidae	262	1	3650	1382200.046	3.174	7.104472
Chlorocebus_aethiops	Cercopithecidae	215.25	1	4533.4825	1160536.921	3.975	0.5
Chlorocebus_cynosuros	Cercopithecidae	207.5	1	4533.4825	3121731.069	3.975	9.640752
Chlorocebus_pygerythrus	Cercopithecidae	215.035714285714	1	4533.4825	4629925.841	3.975	10.4972
Chlorocebus_sabaeus	Cercopithecidae	273.04347826087	1	4533.4825	1535865.494	3.975	8.27171
Chlorocebus_tantalus	Cercopithecidae	NA	1	4533.4825	4039722.097	4.65	11.154246
Chodsigoa_hypsibia	Soricidae	NA	NA	426.9101194	426268.8167	0.0152	0.25728
Chodsigoa_parca	Soricidae	106	NA	426.9101194	588030.335	0.0111	0.225336
Chrotogale_owstoni	Viverridae	NA	2	1825	240586.6487	3.25	4.937231
Chrotomys_whiteheadi	Muridae	NA	NA	639.6318318	16950.28136	0.1407	0.458022
Chrysocyon_brachyurus	Canidae	217.71186440678	3	2032.3307	4490671.626	23.2498	49.078927
Civettictis_civetta	Viverridae	231.413793103448	2.31	3244.5411	15450955.36	12	25.698839
Coendou_bicolor	Erethizontidae	234	1	3031.9718	1245302.456	4.05	4.563413
Coendou_prehensilis	Erethizontidae	246.5	1	3031.9718	10284188.96	4.4	7.853809
Coleura_afra	Emballonuridae	251.734693877551	1	788.4	4761685.71	0.0107	0.345722
Colobus_angolensis	Cercopithecidae	235.9	1	3864.89375	2325687.16	14.4622	10.546468
Colomys_goslingi	Muridae	209.394736842105	1.985	624.3996409	916940.6548	0.0625	0.680068
Conepatus_chinga	Mephitidae	165.375	NA	1317.65	5113797.282	1.9175	7.053498
Conepatus_semistriatus	Mephitidae	239.644444444444	3.995	1741.05	2047030.352	1.2	5.237813
Connochaetes_taurinus	Bovidae	214.687943262411	1	2942.265	3135116.098	179.999	45.267247
Corynorhinus_rafinesquii	Vespertilionidae	NA	1	1289.8028	1340749.104	0.0091	0.236955
Corynorhinus_townsendii	Vespertilionidae	NA	1	1289.8028	4613302.253	0.0099	0.326639
Craseonycteris_thonglongyai	Craseonycteridae	NA	1	2070.531028	8044.76712	0.0022	0.03152
Cratogeomys_castanops	Geomyidae	164.755555555556	2.17	781.5326333	655797.3665	0.2518	0.857013
Cratogeomys_fulvescens	Geomyidae	146	NA	781.5326333	2163.185964	0.265	0.256669
Cratogeomys_fumosus	Geomyidae	174.47619047619	NA	781.5326333	41601.39988	0.15	0.354938
Cratogeomys_goldmani	Geomyidae	180.69387755102	2.17	781.5326333	150472.9041	0.2312	0.594939
Cratogeomys_merriami	Geomyidae	136.37037037037	1.94	781.5326333	6489.435199	0.42	0.4196
Cratogeomys_perotensis	Geomyidae	102	NA	781.5326333	4228.832362	0.3144	0.326008
Cricetomys_emini	Nesomyidae	220.023529411765	3.11	NA	3782398.99	1.3	5.285633
Cricetomys_gambianus	Nesomyidae	235	3.33	1040.3061	8493137.662	1.271	6.213286
Cricetulus_barabensis	Cricetidae	-18.85	5.33	589.3882991	3691004.697	0.0229	0.331178
Cricetulus_kamensis	Cricetidae	NA	NA	589.3882991	106500.061	0.03	0.178788
Cricetulus_longicaudatus	Cricetidae	-1.41379310344828	5.71	589.3882991	2467487.797	0.0221	0.297694
Cricetulus_migratorius	Cricetidae	92.4158415841584	4.65	589.3882991	8682443.961	0.0385	0.530723
