species	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Akodon_torques	67470.59215	0.039	0.295204
Akodon_varius	247248.028	0.04	0.396489
Alcelaphus_buselaphus	6937407.865	171.0015	34.481486
Alces_alces	22969995.53	355	118
Alces_americanus	NA	358.996	101.344775
Alionycteris_paucidentata	6501.136367	0.0162	0.069559
Allactaga_balikunica	234834.9817	0.0725	0.551906
Allactaga_bullata	1565212.171	0.087	0.923136
Allactaga_elater	3335783.921	0.059	0.869504
Allactaga_euphratica	738254.2352	0.07	0.692656
Allactaga_firouzi	201.3818389	0.0986	0.143359
Allactaga_hotsoni	500939.0941	0.0765	0.670375
Allactaga_major	4288389.541	0.35	2.554421
Allactaga_severtzovi	707109.5737	0.159	1.099728
Allactaga_sibirica	5472554.907	0.0975	1.2915
Allactaga_tetradactyla	23233.99507	0.052	0.276673
Allactaga_toussi	NA	NA	NA
Allactaga_vinogradovi	53785.61554	0.0752	0.409994
Allactaga_williamsi	708057.9265	0.1	0.842641
Allactodipus_bobrinskii	275857.2435	0.07	0.560019
Allenopithecus_nigroviridis	513177.8717	4.75	7.232037
Allocebus_trichotis	43326.69335	0.0775	0.248657
Allocricetulus_curtatus	1358442.294	0.0478	0.634559
Allocricetulus_eversmanni	1772525.573	0.1156	1.116569
Alouatta_arctoidea	372699.0185	5.39	4.118188
Alouatta_belzebul	878166.4925	6.4	5.448388
Alouatta_caraya	3097568.058	5.8625	6.814605
Alouatta_discolor	380676.1498	6.2628	4.494527
Alouatta_guariba	1086675.65	5.5892	5.293719
Alouatta_juara	2368787.636	6.886	7.028708
Alouatta_macconnelli	1786830.595	7.5548	6.960901
Alouatta_nigerrima	239253.7533	7.662	4.54453
Alouatta_palliata	577594.7354	7.275	3
Alouatta_pigra	242618.7543	7	5.790809
Alouatta_puruensis	1058258.02	6.4498	5.696661
Alouatta_sara	345436.399	6.611	4.534717
Alouatta_seniculus	NA	6.1455	5.976681
Alouatta_ululata	100874.4758	6.6821	3.496892
Alticola_albicaudus	80554.80574	0.031	0.171403
Alticola_argentatus	1392653.333	0.0377	0.353355
Alticola_barakshin	225868.2552	0.035	0.228986
Alticola_lemminus	2052041.663	0.0155	0.235185
Alticola_macrotis	378136.8247	0.036	0.259949
Alticola_montosa	19626.25076	0.0197	0.098373
Alticola_olchonensis	1343.25599	NA	NA
Alticola_roylei	38692.60821	0.037	0.161318
Alticola_semicanus	670520.9115	0.0532	0.364973
Alticola_stoliczkanus	20194.26846	0.0275	0.118999
Alticola_strelzowi	440456.2146	0.05	0.322088
Alticola_tuvinicus	402356.2131	NA	NA
Amblysomus_corriae	50896.41029	0.0521	0.358885
Amblysomus_hottentotus	213903.7003	0.0526	0.2207
Amblysomus_marleyi	1413.699692	0.036	0.130532
Amblysomus_robustus	1749.835276	0.0795	0.227436
Amblysomus_septentrionalis	33300.223	0.0639	0.373386
Ametrida_centurio	5840858.96	0.0103	0.235231
Ammodillus_imbellis	156194.3906	0.05	0.408194
Ammodorcas_clarkei	84821.0554	28.0498	7.43794
Ammospermophilus_harrisii	271027.2042	0.122	0.767767
Ammospermophilus_interpres	314630.4753	0.1103	0.748257
Ammospermophilus_leucurus	1006032.928	0.1205	1.662166
Ammospermophilus_nelsoni	9035.35515	0.1604	0.592957
Ammotragus_lervia	1428925.901	48	29.916231
Amorphochilus_schnablii	180765.9228	0.0033	0.080098
Amphinectomys_savamis	1004.420495	0.2173	0.319442
Anathana_ellioti	1380914.408	0.16	1.275313
Andalgalomys_olrogi	57483.49334	0.0329	0.258606
Andalgalomys_pearsoni	140426.0126	0.0254	0.270277
Andinomys_edax	230896.2735	0.0697	0.336565
Anisomys_imitator	184089.4773	0.5105	0.962366
Anomalurus_beecrofti	3288556.321	0.389	2.563138
Anomalurus_derbianus	5828268.145	0.65	3.199137
Anomalurus_pelii	246074.6062	1.77	3.498618
Anomalurus_pusillus	580874.31	0.25	1.367167
Anonymomys_mindorensis	601.4212835	0.0596	0.135941
Anotomys_leander	7084.267701	0.0664	0.246382
Anoura_canishina	NA	NA	NA
Anoura_caudifer	6010523.993	0.0101	0.357987
Anoura_cultrata	767283.0724	0.0169	0.308565
Anoura_fistulata	22080.58009	0.013	0.123342
Anoura_geoffroyi	8304785.997	0.0146	0.474436
Anoura_latidens	719423.6207	0.0147	0.28086
Anoura_luismanueli	85668.18586	0.0085	0.129475
Anourosorex_assamensis	17753.81381	0.0252	0.179247
Anourosorex_schmidi	7960.985532	0.0372	0.19362
Anourosorex_squamipes	1198209.65	0.02	0.383645
Anourosorex_yamashinai	36229.77248	0.0114	0.125582
Antechinomys_laniger	2458140.396	0.025	0.517132
Antechinus_adustus	4973.800871	0.0282	0.146394
Antechinus_agilis	164316.6686	0.024	0.270639
Antechinus_argentus	NA	NA	NA
Antechinus_arktos	NA	NA	NA
Antechinus_bellus	135422.5342	0.0445	0.400603
Antechinus_flavipes	1027724.59	0.045	0.625017
Antechinus_godmani	3639.197022	0.0765	0.25989
Antechinus_leo	4446.447995	0.074	0.265646
Antechinus_minimus	76416.6844	0.0535	0.398537
Antechinus_mysticus	NA	NA	NA
Antechinus_stuartii	119041.3109	0.0275	0.75
Antechinus_subtropicus	9691.610575	0.0331	0.187413
Antechinus_swainsonii	315714.9247	0.053	0.538126
Antechinus_vandycki	NA	NA	NA
Anthops_ornatus	21572.45623	0.008	0.089422
Antidorcas_marsupialis	1966848.52	31.5	15.634165
Antilocapra_americana	2006916.176	46.0829	129.225
Antilope_cervicapra	1771403.917	37.5	16.829544
Antrozous_pallidus	4390098.997	0.0208	0.520773
Aonyx_capensis	11958182.09	18.9998	99.56579
Aonyx_cinerea	NA	1.7476	9.716435
Aonyx_congicus	2963551.11	23.8002	44.215458
Aotus_azarae	3201357.613	0.963	1.6025
Aotus_brumbacki	125620.1543	0.8	1.916884
Aotus_griseimembra	237115.1764	0.966	2.450427
Aotus_jorgehernandezi	1202.030442	0.873	0.738587
Aotus_lemurinus	179551.022	0.873	2.177171
Aotus_miconax	60248.97498	0.8	1.63565
Aotus_nancymaae	499256.824	0.788	2.559894
Aotus_nigriceps	1568678.53	1.06	3.886962
