Source	ID	MasterTax_Order	MasterTax_Family	MasterTax_SciName	matched_name	matching_source	NCBI_SciName	NCBI_Rank	NCBI_ID
IUCN	2862	RODENTIA	CRICETIDAE	Necromys_temchuki	Necromys_temchuki	IUCN	Bolomys_temchuki	Species	240585
IUCN	765	RODENTIA	CRICETIDAE	Necromys_urichi	Necromys_urichi	IUCN	Akodon_urichi	Species	29102
IUCN	765	RODENTIA	CRICETIDAE	Necromys_urichi	_Matched-manually-to-NCBI	IUCN	Bolomys_urichi	Species	100644
IUCN	41455	EULIPOTYPHLA	SORICIDAE	Nectogale_elegans	Nectogale_elegans	IUCN	Nectogale_elegans	Species	268758
IUCN	136756	RODENTIA	CRICETIDAE	Nectomys_apicalis	Nectomys_apicalis	IUCN	Nectomys_apicalis	Species	100645
IUCN	136403	RODENTIA	CRICETIDAE	Nectomys_magdalenae	0	0	0	0	0
IUCN	14473	RODENTIA	CRICETIDAE	Nectomys_palmipes	0	0	0	0	0
IUCN	14474	RODENTIA	CRICETIDAE	Nectomys_rattus	0	0	0	0	0
IUCN	14475	RODENTIA	CRICETIDAE	Nectomys_squamipes	Nectomys_squamipes	IUCN	Nectomys_squamipes	Species	29117
IUCN	14486	RODENTIA	CRICETIDAE	Nelsonia_goldmani	0	0	0	0	0
IUCN	14487	RODENTIA	CRICETIDAE	Nelsonia_neotomodon	0	0	0	0	0
IUCN	136554	RODENTIA	CRICETIDAE	Neodon_forresti	0	0	0	0	0
IUCN	11341	RODENTIA	CRICETIDAE	Neodon_fuscus	Lasiopodomys_fuscus	REF--Liu et al. 2012	Neodon_fuscus	Species	771787
IUCN	13435	RODENTIA	CRICETIDAE	Neodon_irene	Neodon_irene	IUCN	Neodon_irene	Species	798166
IUCN	13439	RODENTIA	CRICETIDAE	Neodon_leucurus	Phaiomys_leucurus	REF--Liu et al. 2012	Neodon_leucurus	Species	399230
IUCN	13457	RODENTIA	CRICETIDAE	Neodon_sikimensis	Neodon_sikimensis	IUCN	Microtus_sikimensis	Species	218794
IUCN	13457	RODENTIA	CRICETIDAE	Neodon_sikimensis	Neodon_sikimensis	IUCN	Neodon_sikimensis	Species	798169
IUCN	136603	CARNIVORA	FELIDAE	Neofelis_diardi	Neofelis_diardi	IUCN	Neofelis_diardi	Species	427616
IUCN	14519	CARNIVORA	FELIDAE	Neofelis_nebulosa	Neofelis_nebulosa	COL	Neofelis_nebulosa_nebulosa	Subspecies	427615
IUCN	14519	CARNIVORA	FELIDAE	Neofelis_nebulosa	Neofelis_nebulosa	IUCN	Neofelis_nebulosa	Species	61452
IUCN	14520	RODENTIA	CRICETIDAE	Neofiber_alleni	Neofiber_alleni	IUCN	Neofiber_alleni	Species	484905
IUCN	10588	EULIPOTYPHLA	ERINACEIDAE	Neohylomys_hainanensis	Neohylomys_hainanensis	IUCN	Neohylomys_hainanensis	Species	483536
IUCN	13654	CARNIVORA	PHOCIDAE	Neomonachus_schauinslandi	Monachus_schauinslandi	IUCN	Monachus_schauinslandi	Species	29088
IUCN	13655	CARNIVORA	PHOCIDAE	Neomonachus_tropicalis	Monachus_tropicalis	IUCN_EX	Monachus_tropicalis	Species	1295174
IUCN	29657	EULIPOTYPHLA	SORICIDAE	Neomys_anomalus	Neomys_anomalus	IUCN	Neomys_anomalus	Species	52814
IUCN	29658	EULIPOTYPHLA	SORICIDAE	Neomys_fodiens	Neomys_fodiens	IUCN	Neomys_fodiens	Species	62282
IUCN	29659	EULIPOTYPHLA	SORICIDAE	Neomys_teres	Neomys_teres	IUCN	Neomys_teres	Species	103776
IUCN	13382	CHIROPTERA	PHYLLOSTOMIDAE	Neonycteris_pusilla	0	0	0	0	0
IUCN	14541	DASYUROMORPHIA	DASYURIDAE	Neophascogale_lorentzii	Neophascogale_lorentzii	IUCN	Neophascogale_lorentzii	Species	32551
IUCN	14549	CARNIVORA	OTARIIDAE	Neophoca_cinerea	Neophoca_cinerea	IUCN	Neophoca_cinerea	Species	161930
IUCN	41754	CETARTIODACTYLA	PHOCOENIDAE	Neophocaena_asiaeorientalis	Neophocaena_asiaeorientalis	IUCN	Neophocaena_asiaeorientalis	Species	189058
IUCN	198920	CETARTIODACTYLA	PHOCOENIDAE	Neophocaena_phocaenoides	_Matched-manually-to-NCBI	IUCN	Neophocaena_phocaenoides	Species	34892
IUCN	14560	CHIROPTERA	PTEROPODIDAE	Neopteryx_frosti	0	0	0	0	0
IUCN	44917	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_brunnea	Pipistrellus_brunneus	IUCN	Neoromicia_brunneus	Species	177184
IUCN	44918	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_capensis	Pipistrellus_capensis	IUCN	Neoromicia_capensis	Species	110938
IUCN	44919	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_flavescens	0	0	0	0	0
IUCN	44920	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_guineensis	Pipistrellus_guineensis	IUCN	Neoromicia_guineensis	Species	1332054
IUCN	44921	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_helios	0	0	0	0	0
IUCN	136820	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_malagasyensis	_Matched-manually-to-NCBI	IUCN	Neoromicia_malagasyensis	Species	1162379
IUCN	40033	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_matroka	_Matched-manually-to-NCBI	IUCN	Neoromicia_matroka	Species	1162378
IUCN	44922	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_melckorum	0	0	0	0	0
IUCN	44923	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_nana	Pipistrellus_nanus	IUCN	Neoromicia_nanus	Species	568927
IUCN	44924	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_rendalli	Pipistrellus_rendalli	IUCN	Neoromicia_rendalli	Species	258943
IUCN	44925	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_somalica	Pipistrellus_somalicus	IUCN	Neoromicia_somalicus	Species	258944
IUCN	44926	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_tenuipinnis	Pipistrellus_tenuipinnis	IUCN	Neoromicia_tenuipinnis	Species	1238368
IUCN	44927	CHIROPTERA	VESPERTILIONIDAE	Neoromicia_zuluensis	0	0	0	0	0
IUCN	10590	EULIPOTYPHLA	ERINACEIDAE	Neotetracus_sinensis	Neotetracus_sinensis	IUCN	Neotetracus_sinensis	Species	977878
IUCN	14582	RODENTIA	CRICETIDAE	Neotoma_albigula	Neotoma_albigula	IUCN	Neotoma_albigula	Species	42408
IUCN	14582	RODENTIA	CRICETIDAE	Neotoma_albigula	_Matched-manually-to-NCBI	MSW3	Neotoma_albigula_melanura	Subspecies	913574
IUCN	14582	RODENTIA	CRICETIDAE	Neotoma_albigula	_Matched-manually-to-NCBI	MSW3	Neotoma_albigula_seri	Subspecies	913576
IUCN	14582	RODENTIA	CRICETIDAE	Neotoma_albigula	_Matched-manually-to-NCBI	MSW3	Neotoma_albigula_sheldoni	Subspecies	913578
IUCN	14582	RODENTIA	CRICETIDAE	Neotoma_albigula	_Matched-manually-to-NCBI	MSW3	Neotoma_albigula_varia	Subspecies	913575
IUCN	14582	RODENTIA	CRICETIDAE	Neotoma_albigula	_Matched-manually-to-NCBI	MSW3	Neotoma_albigula_venusta	Subspecies	913577
IUCN	14582	RODENTIA	CRICETIDAE	Neotoma_albigula	_Matched-manually-to-NCBI	NominateSubsp	Neotoma_albigula_albigula	Subspecies	316112
IUCN	14583	RODENTIA	CRICETIDAE	Neotoma_angustapalata	Neotoma_angustapalata	IUCN	Neotoma_angustapalata	Species	912593
IUCN	14576	RODENTIA	CRICETIDAE	Neotoma_anthonyi	0	IUCN_EX	0	0	0
IUCN	14584	RODENTIA	CRICETIDAE	Neotoma_bryanti	Neotoma_bryanti	IUCN	Neotoma_bryanti	Species	394588
IUCN	14577	RODENTIA	CRICETIDAE	Neotoma_bunkeri	0	IUCN_EX	0	0	0
IUCN	14585	RODENTIA	CRICETIDAE	Neotoma_chrysomelas	0	0	0	0	0
IUCN	42673	RODENTIA	CRICETIDAE	Neotoma_cinerea	Neotoma_cinerea	IUCN	Neotoma_cinerea	Species	105147
IUCN	42673	RODENTIA	CRICETIDAE	Neotoma_cinerea	_Matched-manually-to-NCBI	MSW3	Neotoma_cinera_acraea	Subspecies	1392776
IUCN	14586	RODENTIA	CRICETIDAE	Neotoma_devia	Neotoma_devia	IUCN	Neotoma_devia	Species	164610
IUCN	42650	RODENTIA	CRICETIDAE	Neotoma_floridana	Neotoma_floridana	IUCN	Neotoma_floridana	Species	42409
IUCN	14587	RODENTIA	CRICETIDAE	Neotoma_fuscipes	Neotoma_fuscipes	IUCN	Neotoma_fuscipes	Species	105199
IUCN	14588	RODENTIA	CRICETIDAE	Neotoma_goldmani	Neotoma_goldmani	IUCN	Neotoma_goldmani	Species	105148
IUCN	14589	RODENTIA	CRICETIDAE	Neotoma_lepida	Neotoma_lepida	IUCN	Neotoma_lepida	Species	56216
IUCN	14589	RODENTIA	CRICETIDAE	Neotoma_lepida	_Matched-manually-to-NCBI	MSW3	Neotoma_lepida_insularis	Subspecies	1074490
IUCN	136793	RODENTIA	CRICETIDAE	Neotoma_leucodon	Neotoma_leucodon	IUCN	Neotoma_leucodon	Species	268937
IUCN	14597	RODENTIA	CRICETIDAE	Neotoma_macrotis	Neotoma_macrotis	IUCN	Neotoma_macrotis	Species	349162
IUCN	14581	RODENTIA	CRICETIDAE	Neotoma_magister	Neotoma_magister	IUCN	Neotoma_magister	Species	85047
IUCN	14580	RODENTIA	CRICETIDAE	Neotoma_martinensis	0	IUCN_EX	0	0	0
IUCN	14590	RODENTIA	CRICETIDAE	Neotoma_mexicana	Neotoma_mexicana	IUCN	Neotoma_mexicana	Species	105149
IUCN	14590	RODENTIA	CRICETIDAE	Neotoma_mexicana	Neotoma_mexicana	MSW3	Neotoma_ferruginea	Species	1453873
IUCN	14590	RODENTIA	CRICETIDAE	Neotoma_mexicana	_Matched-manually-to-NCBI	MSW3	Neotoma_ferruginea_chamula	Subspecies	1453878
