tiplabel	gen	fam	ord	clade	higher	genes	samp	PC	Source_upham	ID_upham	extinct?	newSinceMSW3?	IFnew_Category	IFnew_GeoRegion	IFnew_Citation
Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA	Acerodon	PTEROPODIDAE	CHIROPTERA	Yinpterochiroptera	Laurasiatheria	5	sampled	PC19_Yinpterochiroptera	IUCN	137	0	0	NA	NA	NA
Acerodon_humilis_PTEROPODIDAE_CHIROPTERA	Acerodon	PTEROPODIDAE	CHIROPTERA	Yinpterochiroptera	Laurasiatheria	0	imputed	PC19_Yinpterochiroptera	IUCN	138	0	0	NA	NA	NA
Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA	Acerodon	PTEROPODIDAE	CHIROPTERA	Yinpterochiroptera	Laurasiatheria	1	sampled	PC19_Yinpterochiroptera	IUCN	139	0	0	NA	NA	NA
Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA	Acerodon	PTEROPODIDAE	CHIROPTERA	Yinpterochiroptera	Laurasiatheria	0	imputed	PC19_Yinpterochiroptera	IUCN	140	0	0	NA	NA	NA
Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA	Acerodon	PTEROPODIDAE	CHIROPTERA	Yinpterochiroptera	Laurasiatheria	0	imputed	PC19_Yinpterochiroptera	IUCN	142	0	0	NA	NA	NA
Acinonyx_jubatus_FELIDAE_CARNIVORA	Acinonyx	FELIDAE	CARNIVORA	Feliformes	Laurasiatheria	7	sampled	PC22_Carnivora	IUCN	219	0	0	NA	NA	NA
Acomys_airensis_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	44936	0	0	NA	NA	NA
Acomys_cahirinus_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	9	sampled	PC11_Muridae	IUCN	263	0	0	NA	NA	NA
Acomys_cilicicus_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	IUCN	264	0	0	NA	NA	NA
Acomys_cineraceus_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	265	0	0	NA	NA	NA
Acomys_dimidiatus_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	IUCN	136471	0	0	NA	NA	NA
Acomys_ignitus_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	6	sampled	PC11_Muridae	IUCN	266	0	0	NA	NA	NA
Acomys_johannis_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	IUCN	44938	0	0	NA	NA	NA
Acomys_kempi_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	267	0	0	NA	NA	NA
Acomys_louisae_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	268	0	0	NA	NA	NA
Acomys_minous_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	IUCN	269	0	0	NA	NA	NA
Acomys_mullah_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	270	0	0	NA	NA	NA
Acomys_muzei_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	newSp	100000003	0	1	deNovo	Tanzania	"Verheyen,__W.,__Hulselmans,__J.,__Wendelen,__W.,__Leirs,__H.,__Corti,__M.,__Backeljau,__T.__&__Verheyen,__E.__2011.__Contribution__to__the__systematics__and__zoogeography__of__the__East-African__Acomys__spinosissimus__Peters__1852__species__complex__and__the__description__of__two__new__species__(Rodentia:__Muridae).__Zootaxa__3059:1-35"
Acomys_nesiotes_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	IUCN	271	0	0	NA	NA	NA
Acomys_ngurui_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC11_Muridae	newSp	100000004	0	1	deNovo	Tanzania	"Verheyen,__W.,__Hulselmans,__J.,__Wendelen,__W.,__Leirs,__H.,__Corti,__M.,__Backeljau,__T.__&__Verheyen,__E.__2011.__Contribution__to__the__systematics__and__zoogeography__of__the__East-African__Acomys__spinosissimus__Peters__1852__species__complex__and__the__description__of__two__new__species__(Rodentia:__Muridae).__Zootaxa__3059:1-35"
Acomys_percivali_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC11_Muridae	IUCN	272	0	0	NA	NA	NA
Acomys_russatus_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	7	sampled	PC11_Muridae	IUCN	273	0	0	NA	NA	NA
Acomys_seurati_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	44939	0	0	NA	NA	NA
Acomys_spinosissimus_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC11_Muridae	IUCN	274	0	0	NA	NA	NA
Acomys_subspinosus_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	275	0	0	NA	NA	NA
Acomys_wilsoni_MURIDAE_RODENTIA	Acomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC11_Muridae	IUCN	276	0	0	NA	NA	NA
Aconaemys_fuscus_OCTODONTIDAE_RODENTIA	Aconaemys	OCTODONTIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	2	sampled	PC14_GuineaPigRelated	IUCN	278	0	0	NA	NA	NA
Aconaemys_porteri_OCTODONTIDAE_RODENTIA	Aconaemys	OCTODONTIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	1	sampled	PC14_GuineaPigRelated	IUCN	136331	0	0	NA	NA	NA
Aconaemys_sagei_OCTODONTIDAE_RODENTIA	Aconaemys	OCTODONTIDAE	RODENTIA	Guinea_pig-related	Euarchontoglires	2	sampled	PC14_GuineaPigRelated	IUCN	279	0	0	NA	NA	NA
Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA	Acrobates	ACROBATIDAE	DIPROTODONTIA	Diprodontia	Marsupialia	21	sampled	PC1_Marsupials	IUCN	40584	0	0	NA	NA	NA
Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA	Addax	BOVIDAE	CETARTIODACTYLA	Ruminantia	Laurasiatheria	4	sampled	PC20_Cetartiodactyla	IUCN	512	0	0	NA	NA	NA
Aegialomys_galapagoensis_CRICETIDAE_RODENTIA	Aegialomys	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	15595	0	0	NA	NA	NA
Aegialomys_xanthaeolus_CRICETIDAE_RODENTIA	Aegialomys	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	4	sampled	PC12_Cricetidae	IUCN	15616	0	0	NA	NA	NA
Aepeomys_lugens_CRICETIDAE_RODENTIA	Aepeomys	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	548	0	0	NA	NA	NA
Aepeomys_reigi_CRICETIDAE_RODENTIA	Aepeomys	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	136484	0	0	NA	NA	NA
Aepyceros_melampus_BOVIDAE_CETARTIODACTYLA	Aepyceros	BOVIDAE	CETARTIODACTYLA	Ruminantia	Laurasiatheria	1	sampled	PC20_Cetartiodactyla	IUCN	550	0	0	NA	NA	NA
Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA	Aepyprymnus	POTOROIDAE	DIPROTODONTIA	Diprodontia	Marsupialia	27	sampled	PC1_Marsupials	IUCN	40558	0	0	NA	NA	NA
Aeretes_melanopterus_SCIURIDAE_RODENTIA	Aeretes	SCIURIDAE	RODENTIA	Squirrel-related	Euarchontoglires	1	sampled	PC13_SquirrelRelated	IUCN	555	0	0	NA	NA	NA
Aeromys_tephromelas_SCIURIDAE_RODENTIA	Aeromys	SCIURIDAE	RODENTIA	Squirrel-related	Euarchontoglires	1	sampled	PC13_SquirrelRelated	IUCN	556	0	0	NA	NA	NA
Aeromys_thomasi_SCIURIDAE_RODENTIA	Aeromys	SCIURIDAE	RODENTIA	Squirrel-related	Euarchontoglires	0	imputed	PC13_SquirrelRelated	IUCN	557	0	0	NA	NA	NA
Aethalops_aequalis_PTEROPODIDAE_CHIROPTERA	Aethalops	PTEROPODIDAE	CHIROPTERA	Yinpterochiroptera	Laurasiatheria	2	sampled	PC19_Yinpterochiroptera	IUCN	136541	0	0	NA	NA	NA
Aethalops_alecto_PTEROPODIDAE_CHIROPTERA	Aethalops	PTEROPODIDAE	CHIROPTERA	Yinpterochiroptera	Laurasiatheria	6	sampled	PC19_Yinpterochiroptera	IUCN	565	0	0	NA	NA	NA
Aethomys_bocagei_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	568	0	0	NA	NA	NA
Aethomys_chrysophilus_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	3	sampled	PC11_Muridae	IUCN	569	0	0	NA	NA	NA
Aethomys_granti_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	570	0	0	NA	NA	NA
Aethomys_hindei_MURIDAE_RODENTIA	Aethomys	MURIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC11_Muridae	IUCN	571	0	0	NA	NA	NA
