species frame Nind size S EstPi_ferretti EstTheta_ferretti
Akodon_albiventer 2 10 376 4 0.00351654846335697 0.00388608077573575
Akodon_albiventer 3 10 376 28 0.0227836879432624 0.0272055021740112
Akodon_azarae 1 5 368 15 0.0218297101449275 0.0202315387209171
Akodon_azarae 2 5 368 4 0.00706521739130435 0.00539507699224456
Akodon_azarae 3 5 368 56 0.0857789855072464 0.0755650511638364
Akodon_boliviensis 1 11 362 5 0.0048216976393772 0.00523358616538877
Akodon_boliviensis 2 11 362 2 0.00100452034153692 0.00209277730233531
Akodon_boliviensis 3 11 361 33 0.0353815159909343 0.034619376276735
Akodon_cursor 1 5 368 7 0.00842391304347826 0.0093812821085548
Akodon_cursor 2 5 368 2 0.00217391304347826 0.00268036631672994
Akodon_cursor 3 5 368 32 0.0488224637681159 0.0429722470904206
Akodon_dolores 1 7 368 2 0.0015527950310559 0.00221827861579413
Akodon_dolores 2 7 368 0 0 0
Akodon_dolores 3 7 368 15 0.0134575569358178 0.016637089618456
Akodon_fumeus 1 12 368 4 0.00389492753623188 0.00367178774205717
Akodon_fumeus 2 12 368 2 0.000905797101449275 0.00183589387102859
Akodon_fumeus 3 12 367 31 0.0311672584152148 0.0285354577768902
Akodon_iniscatus 1 15 376 1 0.000354609929078014 0.000969640555811974
Akodon_iniscatus 2 15 376 0 0 0
Akodon_iniscatus 3 15 375 21 0.0150095238095238 0.0203935257128628
Akodon_lutescens 1 7 368 2 0.0020703933747412 0.00222370469201689
Akodon_lutescens 2 7 368 0 0 0
Akodon_lutescens 3 7 368 27 0.0326086956521739 0.0301048093362073
Akodon_mollis 1 6 368 15 0.0159420289855072 0.0180650341228421
Akodon_mollis 2 6 368 3 0.00326086956521739 0.00361300682456841
Akodon_mollis 3 6 368 83 0.0923007246376812 0.099959855479726
Akodon_montensis 1 17 376 19 0.00965372237274615 0.0154218618766921
Akodon_montensis 2 17 376 8 0.00401900326415345 0.00649346958445933
Akodon_montensis 3 17 375 63 0.0377514041514041 0.0512633876018798
Akodon_mystax 1 8 368 14 0.015625 0.0148275914242052
Akodon_mystax 2 8 368 5 0.00533773291925466 0.00529316576682847
Akodon_mystax 3 8 368 87 0.0998641304347826 0.0922985988496773
Akodon_orophilus 1 8 368 19 0.0183747412008282 0.0214811783960719
Akodon_orophilus 2 8 368 2 0.0020703933747412 0.00226126797909941
Akodon_orophilus 3 8 368 95 0.103357919254658 0.107423242189603
Akodon_paranaensis 1 16 368 10 0.00636021587108544 0.00835816153715542
Akodon_paranaensis 2 16 368 2 0.00126811594202899 0.00167263492445662
Akodon_paranaensis 3 16 368 64 0.045701581027668 0.0535040913031964
Akodon_simulator 1 6 368 5 0.00561594202898551 0.00603803964979364
Akodon_simulator 2 6 368 2 0.00235507246376812 0.00241521585991746
Akodon_simulator 3 6 368 23 0.0329710144927536 0.0277749823890508
Akodon_spegazzinii 1 56 368 16 0.00615466073426432 0.0102719103865037
Akodon_spegazzinii 2 56 368 10 0.00176325609751031 0.00642001656250805
Akodon_spegazzinii 3 56 368 100 0.0407024361936089 0.0642834497486428
Akodon_torques 1 7 368 6 0.00623706004140787 0.00697080009294396
Akodon_torques 2 7 368 3 0.00341614906832298 0.00348540004647198
Akodon_torques 3 7 368 41 0.0416149068322981 0.0476476398923083
Alcelaphus_buselaphus 1 20 378 9 0.0106511740498669 0.00928630055222802
Alcelaphus_buselaphus 2 20 378 5 0.00496247881868797 0.00515963894226057
Alcelaphus_buselaphus 3 20 378 90 0.0917193943104307 0.0929870487989093
Alces_alces 1 18 378 3 0.00140056022408964 0.00236040058567743
Alces_alces 2 18 378 0 0 0
Alces_alces 3 18 378 45 0.0224024795103226 0.0354060087851614
Allactaga_elater 1 50 371 45 0.0342950062355451 0.0302483782302487
Allactaga_elater 2 50 371 7 0.00122120385517872 0.00470530328026091
Allactaga_elater 3 50 371 236 0.230633258095964 0.158696742226734
Allactaga_euphratica 1 21 366 31 0.0249110937635528 0.0246511943785971
Allactaga_euphratica 2 21 366 2 0.000767629456154046 0.00159007354846741
Allactaga_euphratica 3 21 366 221 0.209753503243708 0.176085977368551
Allactaga_firouzi 1 5 298 1 0.00134228187919463 0.00161073825503356
Allactaga_firouzi 2 5 298 0 0 0
Allactaga_firouzi 3 5 298 4 0.00536912751677852 0.00644295302013423
Allactaga_sibirica 1 14 379 11 0.0077473977210125 0.0101654831439906
Allactaga_sibirica 2 14 379 4 0.00150772710139465 0.00369653932508749
Allactaga_sibirica 3 14 379 67 0.0517440343297863 0.0619941932291569
Allactaga_toussi 1 18 333 10 0.00693345791385007 0.00907021669048105
Allactaga_toussi 2 18 333 2 0.00220675220675221 0.00181474621938885
Allactaga_toussi 3 18 332 66 0.0477704829228571 0.0600507734778568
Allactaga_williamsi 1 89 367 27 0.00619271736437949 0.016802013471343
Allactaga_williamsi 2 89 367 7 0.00042861953892784 0.00435607756664449
Allactaga_williamsi 3 89 367 152 0.056587992363419 0.0946733003852399
Alouatta_belzebul 1 71 379 47 0.00623241674313134 0.0258324963494827
Alouatta_belzebul 2 71 379 12 0.00267093425457944 0.0065948749593735
Alouatta_belzebul 3 71 379 175 0.0362312298327391 0.0961816946200497
Alouatta_caraya 1 50 379 9 0.00282160543273136 0.00538090812949122
Alouatta_caraya 2 50 379 3 0.000327756881678175 0.00179376074004357
Alouatta_caraya 3 50 379 21 0.0076528086695067 0.0125566081344185
Alouatta_guariba 1 44 380 7 0.00365853811578723 0.004742554991243
Alouatta_guariba 2 44 380 5 0.0027547003950861 0.00338895789385513
Alouatta_guariba 3 44 379 20 0.0152846055864268 0.0135894966982771
Alouatta_palliata 1 37 267 1 0.00124843945068664 0.00124602046284702
Alouatta_palliata 2 37 267 2 0.00324594257178527 0.00249204092569404
Alouatta_palliata 3 37 266 4 0.00404840931156721 0.00499830242192673
Alouatta_pigra 1 28 267 1 0.00193210867368171 0.00177958555566477
Alouatta_pigra 2 28 267 0 0 0
Alouatta_pigra 3 28 266 1 0.000268528464017186 0.00178275812627554
Alouatta_seniculus 1 21 378 10 0.0111214856312896 0.00902636946578302
Alouatta_seniculus 2 21 378 1 0.000816993464052288 0.000902984996918236
Alouatta_seniculus 3 21 378 67 0.0775491687016823 0.0605534631985789
Alticola_barakshin 1 52 380 11 0.00402032229896007 0.00641008216214414
Alticola_barakshin 2 52 380 1 0.000198459950781932 0.000582726656892435
Alticola_barakshin 3 52 379 16 0.00863190821284877 0.00934824261026213
Alticola_lemminus 1 32 380 24 0.0182197664592961 0.0169357643606681
Alticola_lemminus 2 32 380 6 0.00332201978299982 0.00423535573163237
Alticola_lemminus 3 32 379 122 0.127995112235565 0.0863278668043755
Alticola_macrotis 1 14 380 13 0.0114458932879986 0.0114020203852064
Alticola_macrotis 2 14 380 1 0.0010233918128655 0.000877142601412172
Alticola_macrotis 3 14 380 109 0.0914884530674004 0.0956940221304352
Alticola_semicanus 1 22 380 2 0.000888585099111415 0.00148155168041482
Alticola_semicanus 2 22 380 2 0.000888585099111415 0.00148105100746835
Alticola_semicanus 3 22 379 30 0.0193835429750376 0.0222740944814127
Alticola_stoliczkanus 1 6 377 7 0.00716180371352785 0.00833283733111116
Alticola_stoliczkanus 2 6 377 3 0.00309460654288241 0.00357206644043576
Alticola_stoliczkanus 3 6 376 40 0.0395390070921986 0.0477459913261445
Alticola_strelzowi 1 13 380 4 0.00421052631578947 0.00362503332673471
Alticola_strelzowi 2 13 380 3 0.00222672064777328 0.00271787186057773
Alticola_strelzowi 3 13 379 25 0.0218117854001759 0.0227010331263104
Amblysomus_hottentotus 1 11 310 20 0.0152101661779081 0.0221615223206983
Amblysomus_hottentotus 2 11 309 2 0.00231440619790134 0.00221785496460673
Amblysomus_hottentotus 3 11 309 103 0.108626720277206 0.115065942591156
Ammospermophilus_leucurus 1 11 167 4 0.00827436037016875 0.00818100140976185
Ammospermophilus_leucurus 2 11 167 3 0.00326619488296135 0.00613700622873661
Ammospermophilus_leucurus 3 11 166 16 0.0378970427163198 0.0329279945120009
Ammotragus_lervia 1 11 380 26 0.0207978279030911 0.0268025009122339
Ammotragus_lervia 2 11 379 12 0.00986723625246053 0.0123815532871508
Ammotragus_lervia 3 11 379 101 0.0874188549650291 0.104270109235352
Andinomys_edax 1 23 376 23 0.0164375017520253 0.0200646829248662
Andinomys_edax 2 23 376 7 0.00313895555569931 0.00610930744053938
Andinomys_edax 3 23 375 97 0.076972959407742 0.084725803013904
Anourosorex_squamipes 1 450 379 44 0.0117867197941404 0.0173861741218898
Anourosorex_squamipes 2 450 379 14 0.000723321963324161 0.00553218481429547
Anourosorex_squamipes 3 450 379 162 0.066822298032433 0.0640158073009597
Anourosorex_yamashinai 1 48 379 19 0.00670702420828733 0.0131054919040791
Anourosorex_yamashinai 2 48 379 6 0.00319445224149653 0.00413857639076181
Anourosorex_yamashinai 3 48 379 67 0.0295687606429761 0.0462689996017165
Antidorcas_marsupialis 1 16 378 6 0.00376984126984127 0.00615251522858916
Antidorcas_marsupialis 2 16 378 3 0.0017636684303351 0.00307725684908041
Antidorcas_marsupialis 3 16 378 24 0.0161312673217435 0.0246134261250024
Antilope_cervicapra 1 50 380 12 0.00307470382761649 0.00810695716131197
Antilope_cervicapra 2 50 379 9 0.00382908198489368 0.00608703583740422
Antilope_cervicapra 3 50 379 51 0.0154835332389977 0.0344949996047565
Antrozous_pallidus 1 38 134 8 0.00725037684974842 0.0142120035798202
Antrozous_pallidus 2 38 134 0 0 0
Antrozous_pallidus 3 38 134 43 0.0837986454640029 0.0763895192415338
Aotus_azarae 1 5 380 12 0.0136842105263158 0.0151674741942279
Aotus_azarae 2 5 380 5 0.00526315789473684 0.00631978091426161
Aotus_azarae 3 5 379 61 0.0728232189973615 0.0773539046813904
Aotus_nancymaae 1 7 378 16 0.0168808264046359 0.0172767519706294
Aotus_nancymaae 2 7 378 9 0.0110859158478206 0.00971817298347904
Aotus_nancymaae 3 7 378 70 0.0857898715041572 0.0755857898715037
Aplodontia_rufa 1 557 351 47 0.011712563493151 0.0215850402566972
Aplodontia_rufa 2 557 351 20 0.00551215388123756 0.00919080666820398
Aplodontia_rufa 3 557 350 170 0.0615255646115111 0.078318103518359
Apodemus_agrarius 1 402 380 72 0.00405144247846139 0.0295762178313984
Apodemus_agrarius 2 402 380 29 0.00179280876510239 0.0119139747014649
Apodemus_agrarius 3 402 380 259 0.036065196127594 0.106412334554436
Apodemus_alpicola 1 8 380 8 0.0140037593984962 0.00981033355134072
