species	check
Bunomys_andrewsi	inFrame1
Cacajao_ayresi	inFrame1
Cacajao_calvus	inFrame1
Cacajao_hosomi	inFrame1
Cacajao_melanocephalus	inFrame1
Callicebus_lugens	inFrame1
Callithrix_geoffroyi	inFrame1
Callithrix_jacchus	inFrame1
Callorhinus_ursinus	inFrame1
Callosciurus_erythraeus	inFrame1
Callosciurus_finlaysonii	inFrame1
Callosciurus_notatus	inFrame1
Callosciurus_prevostii	inFrame1
Calomys_callosus	inFrame1
Calomys_expulsus	inFrame1
Calomys_fecundus	inFrame1
Calomys_laucha	inFrame1
Calomys_lepidus	inFrame1
Calomys_musculinus	inFrame1
Calomys_sorellus	inFrame1
Calomys_tener	inFrame1
Calomys_tocantinsi	inFrame1
Calomyscus_bailwardi	inFrame1
Calomyscus_baluchi	inFrame1
Calomyscus_hotsoni	inFrame1
Caluromys_derbianus	inFrame1
Caluromys_lanatus	inFrame1
Caluromys_philander	inFrame1
Camelus_bactrianus	inFrame1
Camelus_ferus	inFrame1
Canis_adustus	inFrame1
Canis_anthus	inFrame1
Canis_aureus	inFrame1
Canis_latrans	inFrame1
Canis_lupus	inFrame1
Canis_mesomelas	inFrame1
Canis_simensis	inFrame1
Capra_aegagrus	inFrame1
Capra_caucasica	inFrame1
Capra_falconeri	inFrame1
Capra_hircus	notInFrame123
Capra_ibex	inFrame1
Capra_nubiana	inFrame1
Capra_pyrenaica	inFrame1
Capra_sibirica	inFrame1
Capreolus_capreolus	inFrame1
Capreolus_pygargus	inFrame1
Capricornis_crispus	inFrame1
Capricornis_milneedwardsii	inFrame1
Capricornis_sumatraensis	inFrame1
Capromys_pilorides	inFrame1
Caracal_caracal	inFrame1
Carollia_benkeithi	inFrame1
Carollia_brevicauda	inFrame1
Carollia_castanea	inFrame1
Carollia_perspicillata	inFrame1
Carollia_sowelli	inFrame1
Caryomys_eva	inFrame1
Caryomys_inez	inFrame1
Casinycteris_argynnis	inFrame1
Castor_fiber	inFrame1
Catopuma_badia	inFrame1
Catopuma_temminckii	inFrame1
Cavia_aperea	inFrame1
Cavia_porcellus	inFrame1
Cavia_tschudii	inFrame1
Cebus_albifrons	inFrame1
Cebus_olivaceus	inFrame1
Centurio_senex	inFrame1
Cephalophus_callipygus	inFrame1
Cephalophus_dorsalis	inFrame1
Cephalophus_leucogaster	inFrame1
Cephalophus_natalensis	inFrame1
Cephalophus_nigrifrons	inFrame1
Cephalophus_ogilbyi	inFrame1
Cephalophus_rufilatus	inFrame1
Cephalophus_silvicultor	inFrame1
Cephalorhynchus_heavisidii	inFrame1
Ceratotherium_simum	inFrame1
Cercocebus_atys	inFrame1
Cercocebus_torquatus	inFrame1
Cercopithecus_ascanius	inFrame1
Cercopithecus_campbelli	inFrame1
Cercopithecus_cephus	inFrame1
Cercopithecus_mitis	inFrame1
Cercopithecus_nictitans	inFrame1
Cercopithecus_petaurista	inFrame1
Cercopithecus_pogonias	inFrame1
Cerdocyon_thous	inFrame1
Cerradomys_akroai	inFrame1
Cerradomys_goytaca	inFrame1
Cerradomys_marinhus	inFrame1
Cerradomys_scotti	inFrame1
Cerradomys_subflavus	inFrame1
Cerradomys_vivoi	inFrame1
Cervus_albirostris	inFrame1
Cervus_elaphus	inFrame1
Cervus_nippon	inFrame1
Chaerephon_atsinanana	inFrame1
Chaerephon_pumilus	inFrame1
Chaetodipus_arenarius	inFrame1
Chaetodipus_dalquesti	inFrame1
Chaetodipus_fallax	inFrame1
Chaetodipus_hispidus	inFrame1
Chaetodipus_intermedius	inFrame1
Chaetodipus_spinatus	inFrame1
Cheirogaleus_crossleyi	inFrame1
Cheirogaleus_major	inFrame1
Cheirogaleus_medius	inFrame1
Cheirogaleus_sibreei	inFrame1
Chelemys_macronyx	inFrame1
Chimarrogale_himalayica	inFrame1
Chimarrogale_platycephalus	inFrame1
Chinchilla_chinchilla	inFrame2
Chinchilla_lanigera	inFrame2
Chionomys_gud	inFrame1
Chionomys_nivalis	inFrame1
Chionomys_roberti	inFrame1
Chiromyscus_chiropus	inFrame1
Chironax_melanocephalus	inFrame1
Chironectes_minimus	inFrame1
Chiropodomys_gliroides	inFrame1
Chiropotes_chiropotes	inFrame1
Chlorocebus_aethiops	inFrame1
Chlorocebus_cynosuros	inFrame1
Chlorocebus_djamdjamensis	inFrame1
Chlorocebus_pygerythrus	inFrame1
Chlorocebus_sabaeus	inFrame1
Chlorocebus_tantalus	notInFrame123
Chodsigoa_hypsibia	notInFrame123
Chodsigoa_parca	inFrame1
Chrotogale_owstoni	inFrame1
Chrotomys_mindorensis	inFrame1
Chrotomys_silaceus	inFrame1
Chrotomys_whiteheadi	inFrame1
Chrysocyon_brachyurus	inFrame1
Civettictis_civetta	inFrame1
Coendou_bicolor	inFrame1
Coendou_prehensilis	inFrame1
Coendou_speratus	inFrame1
Coleura_afra	inFrame1
Colobus_angolensis	inFrame1
Colomys_goslingi	inFrame1
Condylura_cristata	inFrame1
Conepatus_chinga	inFrame1
Conepatus_semistriatus	inFrame1
Connochaetes_gnou	inFrame1
Connochaetes_taurinus	inFrame1
Corynorhinus_mexicanus	inFrame1
Corynorhinus_rafinesquii	inFrame1
Corynorhinus_townsendii	inFrame1
Craseonycteris_thonglongyai	inFrame1
Cratogeomys_castanops	inFrame1
Cratogeomys_fulvescens	inFrame1
Cratogeomys_fumosus	inFrame1
Cratogeomys_goldmani	inFrame1
Cratogeomys_merriami	inFrame1
Cratogeomys_perotensis	inFrame1
Cricetomys_emini	inFrame1
Cricetomys_gambianus	inFrame1
Cricetulus_barabensis	inFrame1
Cricetulus_kamensis	inFrame1
Cricetulus_longicaudatus	inFrame1
Cricetulus_migratorius	inFrame1
Cricetus_cricetus	inFrame1
Crocidura_aleksandrisi	inFrame1
Crocidura_attenuata	inFrame1
Crocidura_batakorum	inFrame1
Crocidura_beatus	inFrame1
Crocidura_beccarii	inFrame1
Crocidura_brunnea	inFrame1
Crocidura_buettikoferi	inFrame1
Crocidura_caspica	inFrame1
Crocidura_douceti	inFrame1
Crocidura_dsinezumi	inFrame1
Crocidura_elongata	inFrame1
Crocidura_flavescens	inFrame1
Crocidura_foetida	inFrame1
Crocidura_fuliginosa	inFrame1
Crocidura_fulvastra	inFrame1
Crocidura_goliath	inFrame1
Crocidura_grandiceps	inFrame1
Crocidura_grayi	inFrame1
Crocidura_hikmiya	inFrame1
Crocidura_hildegardeae	inFrame1
Crocidura_hirta	inFrame1
Crocidura_jouvenetae	inFrame1
Crocidura_lamottei	inFrame1
Crocidura_lasiura	inFrame1
Crocidura_lepidura	inFrame1
Crocidura_leucodon	inFrame1
Crocidura_mdumai	inFrame1
Crocidura_mindorus	inFrame1
Crocidura_monax	inFrame1
Crocidura_montis	inFrame1
Crocidura_munissii	inFrame1
Crocidura_muricauda	inFrame1
Crocidura_musseri	inFrame1
Crocidura_nanilla	inFrame1
Crocidura_negrina	inFrame1
Crocidura_newmarki	inFrame1
Crocidura_nigripes	inFrame1
Crocidura_obscurior	inFrame1
Crocidura_olivieri	inFrame1
Crocidura_orientalis	inFrame1
Crocidura_pachyura	inFrame1
Crocidura_palawanensis	inFrame1
Crocidura_panayensis	inFrame1
Crocidura_paradoxura	inFrame1
Crocidura_poensis	inFrame1
Crocidura_rapax	inFrame1
Crocidura_russula	inFrame1
Crocidura_shantungensis	inFrame1
Crocidura_sibirica	inFrame1
Crocidura_sicula	inFrame1
Crocidura_stenocephala	inFrame1
Crocidura_suaveolens	inFrame1
Crocidura_tanakae	inFrame1
Crocidura_telfordi	inFrame1
Crocidura_theresae	inFrame1
Crocidura_viaria	inFrame1
Crocidura_wimmeri	inFrame1
Crocidura_wuchihensis	inFrame1
